WILAYAH_KERJA,OPERATOR,AFE_NO,BUDGET_SCHEDULE,AFE_STATUS,CONTRACT_AREA,CONTRACT_AREA_NO,ACTIVITY_CODE,BASIN,SURVEY_TYPE,OBJECTIVE,LOCATION,MEETING_DATE,PLATFORM_TRIPOD,SAMPLE,SINGLE_DUAL_TRIPLE,PROJECT_NAME,PROJECT_TYPE,WELL_NAME,WELL_TYPE,PROGRAM_NAME,PROGRAM_NO,ESP,KM,MAN_HOURS,MUD_TYPE,HORSE_POWER,IMPURITIES_CONTENT,DIAMETER,SHOOT_POINT,TROUGHPUT,CAPACITY,OG_RESERVOIR,EVALUATION_NOTE,EXTERNAL_JUSTIFICATION,POD_REF_NO,EST_PRODUCTION_GAIN,FIELD,STRUCTURE,ELEVATION,ELEVATION_KB,SURFACE_COORDINATE_LATITUDE,SURFACE_COORDINATE_LONGITUDE,TARGET_EVALUASI,CASHING_MATERIAL,PLAN__TOTAL_DEPTH,PLAN_WELL_COST_PER_DAY,PLAN_WELL_COST_PER_FOOT,PLAN_DRILLING_DAYS,PLAN_MOVING_DAYS,PLAN_MOB_DEMOB,WPAB,WPAB_REF_NO,CREATED_DATE,EST_START_DATE
SUMATERA,BP INDONESIA,24-0010-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-110,G&G,INDONESIA BASIN,MAGNETIC,Stratigraphic Correlation,Site-10,2/11/2024 0:00,No,Rock Core,Triple,Project-10,Development,Well-10,Appraisal,Standard Program,PROG-10,No,169.38,1587,Oil Based Mud,956,Low,11.8,SP-10,Moderate,High,Layer-10,Satisfactory analysis result.,Strategic asset development,POD-10,1748,Field-10,Structure-10,86.4,4.2,-1.6682,136.3664,Target-10,Composite,2215,134845,49,35,3,1,WPAB-10,REF-10,1/1/2024 0:00,3/11/2024 0:00
SERAM,CONOCOPHILLIPS,24-0011-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-111,G&G,INDONESIA BASIN,GRAVITY,Hydrocarbon Detection,Site-11,2/12/2024 0:00,Yes,Rock Core,Triple,Project-11,Exploration,Well-11,Appraisal,Standard Program,PROG-11,No,51.97,1938,Oil Based Mud,1113,Medium,8.7,SP-11,High,Low,Layer-11,Satisfactory analysis result.,Strategic asset development,POD-11,1394,Field-11,Structure-11,47.7,3.2,-2.8677,105.2088,Target-11,Steel,3079,149379,38,38,4,2,WPAB-11,REF-11,1/1/2024 0:00,3/12/2024 0:00
SERAM,ALTAR RESOURCES,24-0012-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-112,G&G,INDONESIA BASIN,G&G STUDY,Reservoir Imaging,Site-12,2/13/2024 0:00,Yes,Rock Core,Dual,Project-12,Development,Well-12,Development,Standard Program,PROG-12,No,199.24,1402,Water Based Mud,1471,High,8.8,SP-12,Moderate,High,Layer-12,Satisfactory analysis result.,Strategic asset development,POD-12,2904,Field-12,Structure-12,88.3,3.4,-0.9579,131.1385,Target-12,Steel,1517,151737,39,39,4,3,WPAB-12,REF-12,1/1/2024 0:00,3/13/2024 0:00
BINTUNI,BP INDONESIA,24-0013-E,18E - Exploration & Exploitation,Approved,SUMATERA BLOCK PSC,CA-113,G&G,INDONESIA BASIN,SEISMIC 2D,Hydrocarbon Detection,Site-13,2/14/2024 0:00,Yes,Rock Core,Triple,Project-13,Exploration,Well-13,Development,Standard Program,PROG-13,Yes,65.31,2355,Water Based Mud,1229,High,9,SP-13,High,Medium,Layer-13,Satisfactory analysis result.,Strategic asset development,POD-13,1333,Field-13,Structure-13,75.9,1.9,-2.4686,116.4092,Target-13,Composite,1173,188235,41,18,3,3,WPAB-13,REF-13,1/1/2024 0:00,3/14/2024 0:00
SERAM,ALTAR RESOURCES,24-0014-E,18E - Exploration & Exploitation,Closed Out,BINTUNI BLOCK PSC,CA-114,G&G,INDONESIA BASIN,G&G STUDY,Hydrocarbon Detection,Site-14,2/15/2024 0:00,Yes,Rock Core,Triple,Project-14,Exploration,Well-14,Appraisal,Standard Program,PROG-14,Yes,150.38,1106,Water Based Mud,1446,Medium,10.3,SP-14,Low,High,Layer-14,Satisfactory analysis result.,Strategic asset development,POD-14,1921,Field-14,Structure-14,96.7,3.6,-1.3885,113.8109,Target-14,Composite,1856,101474,39,24,4,3,WPAB-14,REF-14,1/1/2024 0:00,3/15/2024 0:00
SUMATERA,PERTAMINA HULU,24-0015-E,18E - Exploration & Exploitation,Closed Out,BARITO BLOCK PSC,CA-115,G&G,INDONESIA BASIN,G&G STUDY,Hydrocarbon Detection,Site-15,2/16/2024 0:00,No,Rock Core,Triple,Project-15,Exploration,Well-15,Appraisal,Standard Program,PROG-15,Yes,66.22,1622,Oil Based Mud,708,Low,11.1,SP-15,Moderate,Low,Layer-15,Satisfactory analysis result.,Strategic asset development,POD-15,1825,Field-15,Structure-15,60.4,4.1,-0.335,97.8969,Target-15,Steel,1235,173864,48,32,3,1,WPAB-15,REF-15,1/1/2024 0:00,3/16/2024 0:00
BARITO,REPSOL,24-0016-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-116,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-16,2/17/2024 0:00,No,Rock Core,Triple,Project-16,Development,Well-16,Exploration,Standard Program,PROG-16,Yes,165.41,2447,Oil Based Mud,996,High,9.1,SP-16,Low,High,Layer-16,Satisfactory analysis result.,Strategic asset development,POD-16,2321,Field-16,Structure-16,76.6,1.7,-2.0996,111.4408,Target-16,Steel,3718,145435,48,34,2,3,WPAB-16,REF-16,1/1/2024 0:00,3/17/2024 0:00
BARITO,ALTAR RESOURCES,24-0017-E,18E - Exploration & Exploitation,Draft,BARITO BLOCK PSC,CA-117,G&G,INDONESIA BASIN,G&G STUDY,Structure Mapping,Site-17,2/18/2024 0:00,Yes,Rock Core,Triple,Project-17,Exploration,Well-17,Development,Standard Program,PROG-17,Yes,53.34,2068,Water Based Mud,542,Low,7.5,SP-17,High,Low,Layer-17,Satisfactory analysis result.,Strategic asset development,POD-17,2404,Field-17,Structure-17,33.7,3.9,-1.8854,101.0034,Target-17,Steel,2438,161865,35,23,4,2,WPAB-17,REF-17,1/1/2024 0:00,3/18/2024 0:00
SERAM,CONOCOPHILLIPS,24-0018-E,18E - Exploration & Exploitation,Draft,BINTUNI BLOCK PSC,CA-118,G&G,INDONESIA BASIN,G&G STUDY,Hydrocarbon Detection,Site-18,2/19/2024 0:00,No,Rock Core,Single,Project-18,Exploration,Well-18,Development,Standard Program,PROG-18,No,161.73,2413,Water Based Mud,1183,Low,7.1,SP-18,High,Medium,Layer-18,Satisfactory analysis result.,Strategic asset development,POD-18,2783,Field-18,Structure-18,70.6,3.2,-2.7496,112.4456,Target-18,Steel,1745,164265,47,34,3,2,WPAB-18,REF-18,1/1/2024 0:00,3/19/2024 0:00
SERAM,BP INDONESIA,24-0019-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-119,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-19,2/20/2024 0:00,Yes,Rock Core,Single,Project-19,Exploration,Well-19,Appraisal,Standard Program,PROG-19,No,51.07,2892,Oil Based Mud,1047,Low,11,SP-19,Low,High,Layer-19,Satisfactory analysis result.,Strategic asset development,POD-19,2601,Field-19,Structure-19,20.1,3.4,-0.9613,108.1274,Target-19,Composite,2835,131596,43,21,5,3,WPAB-19,REF-19,1/1/2024 0:00,3/20/2024 0:00
SUMATERA,PERTAMINA HULU,24-0020-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-120,G&G,INDONESIA BASIN,SEISMIC 3D,Stratigraphic Correlation,Site-20,2/21/2024 0:00,Yes,Rock Core,Single,Project-20,Development,Well-20,Exploration,Standard Program,PROG-20,Yes,112.91,2587,Oil Based Mud,525,Low,6.2,SP-20,Moderate,Medium,Layer-20,Satisfactory analysis result.,Strategic asset development,POD-20,2087,Field-20,Structure-20,24.9,4.6,-2.7073,104.2228,Target-20,Composite,2278,135762,42,32,5,1,WPAB-20,REF-20,1/1/2024 0:00,3/21/2024 0:00
SUMATERA,ALTAR RESOURCES,24-0021-E,18E - Exploration & Exploitation,Draft,BINTUNI BLOCK PSC,CA-121,G&G,INDONESIA BASIN,G&G STUDY,Stratigraphic Correlation,Site-21,2/22/2024 0:00,Yes,Rock Core,Triple,Project-21,Exploration,Well-21,Development,Standard Program,PROG-21,Yes,130.6,1864,Water Based Mud,1484,Medium,7.9,SP-21,Low,Medium,Layer-21,Satisfactory analysis result.,Strategic asset development,POD-21,2501,Field-21,Structure-21,90.4,2.3,-1.9258,135.0923,Target-21,Composite,2141,108283,47,18,4,3,WPAB-21,REF-21,1/1/2024 0:00,3/22/2024 0:00
BARITO,PERTAMINA HULU,24-0022-E,18E - Exploration & Exploitation,Draft,MAHAKAM BLOCK PSC,CA-122,G&G,INDONESIA BASIN,MAGNETIC,Structure Mapping,Site-22,2/23/2024 0:00,Yes,Rock Core,Triple,Project-22,Development,Well-22,Appraisal,Standard Program,PROG-22,Yes,91.23,2876,Water Based Mud,1009,Medium,6.9,SP-22,Low,High,Layer-22,Satisfactory analysis result.,Strategic asset development,POD-22,1260,Field-22,Structure-22,57.7,2.1,-2.003,136.9879,Target-22,Composite,3746,194542,32,22,2,2,WPAB-22,REF-22,1/1/2024 0:00,3/23/2024 0:00
BARITO,ALTAR RESOURCES,24-0023-E,18E - Exploration & Exploitation,Approved,MAHAKAM BLOCK PSC,CA-123,G&G,INDONESIA BASIN,GRAVITY,Stratigraphic Correlation,Site-23,2/24/2024 0:00,Yes,Rock Core,Dual,Project-23,Exploration,Well-23,Exploration,Standard Program,PROG-23,Yes,182.66,1692,Water Based Mud,1452,Low,11.4,SP-23,High,Medium,Layer-23,Satisfactory analysis result.,Strategic asset development,POD-23,1270,Field-23,Structure-23,78.2,4.1,-1.0933,104.9895,Target-23,Steel,2513,152174,50,32,5,2,WPAB-23,REF-23,1/1/2024 0:00,3/24/2024 0:00
SERAM,BP INDONESIA,24-0024-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-124,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-24,2/25/2024 0:00,No,Rock Core,Single,Project-24,Exploration,Well-24,Exploration,Standard Program,PROG-24,No,70.25,1717,Water Based Mud,1124,Low,6.1,SP-24,Low,High,Layer-24,Satisfactory analysis result.,Strategic asset development,POD-24,2222,Field-24,Structure-24,95.5,1.8,-2.0063,97.4511,Target-24,Steel,1595,155720,30,32,3,2,WPAB-24,REF-24,1/1/2024 0:00,3/25/2024 0:00
BINTUNI,PERTAMINA HULU,24-0025-E,18E - Exploration & Exploitation,Closed Out,MAHAKAM BLOCK PSC,CA-125,G&G,INDONESIA BASIN,SEISMIC 2D,Reservoir Imaging,Site-25,2/26/2024 0:00,Yes,Rock Core,Triple,Project-25,Exploration,Well-25,Appraisal,Standard Program,PROG-25,No,117.97,2778,Oil Based Mud,1223,Medium,10.7,SP-25,High,Low,Layer-25,Satisfactory analysis result.,Strategic asset development,POD-25,1279,Field-25,Structure-25,68.5,2.1,-0.532,133.2551,Target-25,Composite,1872,152708,43,12,5,2,WPAB-25,REF-25,1/1/2024 0:00,3/26/2024 0:00
BINTUNI,PERTAMINA HULU,24-0026-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-126,G&G,INDONESIA BASIN,G&G STUDY,Reservoir Imaging,Site-26,2/27/2024 0:00,No,Rock Core,Dual,Project-26,Development,Well-26,Development,Standard Program,PROG-26,Yes,63.9,2743,Oil Based Mud,513,High,7.9,SP-26,High,High,Layer-26,Satisfactory analysis result.,Strategic asset development,POD-26,2038,Field-26,Structure-26,66.8,1.9,-2.8247,117.6148,Target-26,Steel,3601,105314,43,28,2,1,WPAB-26,REF-26,1/1/2024 0:00,3/27/2024 0:00
SUMATERA,REPSOL,24-0027-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-127,G&G,INDONESIA BASIN,MAGNETIC,Stratigraphic Correlation,Site-27,2/28/2024 0:00,No,Rock Core,Dual,Project-27,Development,Well-27,Development,Standard Program,PROG-27,No,57.54,2979,Water Based Mud,1081,Low,6.1,SP-27,Low,High,Layer-27,Satisfactory analysis result.,Strategic asset development,POD-27,1619,Field-27,Structure-27,97.3,4.2,-1.9871,135.3594,Target-27,Steel,2345,191331,37,34,5,2,WPAB-27,REF-27,1/1/2024 0:00,3/28/2024 0:00
SERAM,BP INDONESIA,24-0028-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-128,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-28,2/29/2024 0:00,No,Rock Core,Triple,Project-28,Development,Well-28,Exploration,Standard Program,PROG-28,No,166.58,2564,Oil Based Mud,1047,High,6.2,SP-28,Moderate,Medium,Layer-28,Satisfactory analysis result.,Strategic asset development,POD-28,2856,Field-28,Structure-28,40.7,3,-0.559,131.1734,Target-28,Steel,2484,199639,36,20,2,2,WPAB-28,REF-28,1/1/2024 0:00,3/29/2024 0:00
MAHAKAM,REPSOL,24-0029-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-129,G&G,INDONESIA BASIN,SEISMIC 3D,Hydrocarbon Detection,Site-29,3/1/2024 0:00,No,Rock Core,Triple,Project-29,Exploration,Well-29,Appraisal,Standard Program,PROG-29,No,89.7,1803,Oil Based Mud,741,High,8.8,SP-29,High,High,Layer-29,Satisfactory analysis result.,Strategic asset development,POD-29,2776,Field-29,Structure-29,47.4,3.9,-1.0922,111.2733,Target-29,Steel,3541,168669,47,22,4,2,WPAB-29,REF-29,1/1/2024 0:00,3/30/2024 0:00
SUMATERA,ALTAR RESOURCES,24-0030-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-130,G&G,INDONESIA BASIN,SEISMIC 3D,Reservoir Imaging,Site-30,3/2/2024 0:00,Yes,Rock Core,Triple,Project-30,Development,Well-30,Appraisal,Standard Program,PROG-30,Yes,108.62,1989,Water Based Mud,1077,High,9.5,SP-30,Low,Medium,Layer-30,Satisfactory analysis result.,Strategic asset development,POD-30,2390,Field-30,Structure-30,45,4.4,-0.4806,117.4163,Target-30,Composite,3390,135318,38,28,2,2,WPAB-30,REF-30,1/1/2024 0:00,3/31/2024 0:00
SERAM,CONOCOPHILLIPS,24-0031-E,18E - Exploration & Exploitation,Draft,BINTUNI BLOCK PSC,CA-131,G&G,INDONESIA BASIN,G&G STUDY,Reservoir Imaging,Site-31,3/3/2024 0:00,No,Rock Core,Dual,Project-31,Development,Well-31,Exploration,Standard Program,PROG-31,Yes,73.46,1254,Water Based Mud,1007,Low,11.2,SP-31,Moderate,Medium,Layer-31,Satisfactory analysis result.,Strategic asset development,POD-31,1828,Field-31,Structure-31,66.9,2.7,-2.613,105.044,Target-31,Steel,3602,169849,34,20,4,3,WPAB-31,REF-31,1/1/2024 0:00,4/1/2024 0:00
BARITO,PERTAMINA HULU,24-0032-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-132,G&G,INDONESIA BASIN,MAGNETIC,Stratigraphic Correlation,Site-32,3/4/2024 0:00,No,Rock Core,Triple,Project-32,Development,Well-32,Appraisal,Standard Program,PROG-32,No,53.2,2619,Oil Based Mud,954,Low,9.2,SP-32,Low,High,Layer-32,Satisfactory analysis result.,Strategic asset development,POD-32,2742,Field-32,Structure-32,93.4,2.2,-0.8446,96.2985,Target-32,Steel,3153,116043,47,13,2,1,WPAB-32,REF-32,1/1/2024 0:00,4/2/2024 0:00
BARITO,REPSOL,24-0033-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-133,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-33,3/5/2024 0:00,No,Rock Core,Dual,Project-33,Development,Well-33,Development,Standard Program,PROG-33,Yes,72.78,2025,Oil Based Mud,651,High,7.8,SP-33,Low,Low,Layer-33,Satisfactory analysis result.,Strategic asset development,POD-33,2844,Field-33,Structure-33,97.6,1.6,-2.4547,102.4755,Target-33,Composite,2875,184487,30,33,5,2,WPAB-33,REF-33,1/1/2024 0:00,4/3/2024 0:00
MAHAKAM,BP INDONESIA,24-0034-E,18E - Exploration & Exploitation,Closed Out,SUMATERA BLOCK PSC,CA-134,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-34,3/6/2024 0:00,No,Rock Core,Triple,Project-34,Exploration,Well-34,Appraisal,Standard Program,PROG-34,No,170.31,2920,Water Based Mud,1097,Medium,6.9,SP-34,Low,Low,Layer-34,Satisfactory analysis result.,Strategic asset development,POD-34,2779,Field-34,Structure-34,22.7,3,-0.128,98.2272,Target-34,Steel,2214,144047,43,30,4,3,WPAB-34,REF-34,1/1/2024 0:00,4/4/2024 0:00
SERAM,PERTAMINA HULU,24-0035-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-135,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-35,3/7/2024 0:00,No,Rock Core,Dual,Project-35,Exploration,Well-35,Development,Standard Program,PROG-35,Yes,75.76,2278,Water Based Mud,763,High,11.1,SP-35,Low,Low,Layer-35,Satisfactory analysis result.,Strategic asset development,POD-35,1787,Field-35,Structure-35,26.3,1.3,-1.6101,130.351,Target-35,Steel,2625,194650,31,37,5,1,WPAB-35,REF-35,1/1/2024 0:00,4/5/2024 0:00
SUMATERA,ALTAR RESOURCES,24-0036-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-136,G&G,INDONESIA BASIN,MAGNETIC,Stratigraphic Correlation,Site-36,3/8/2024 0:00,Yes,Rock Core,Dual,Project-36,Exploration,Well-36,Exploration,Standard Program,PROG-36,No,55.88,2409,Water Based Mud,1239,Low,6.1,SP-36,Low,Medium,Layer-36,Satisfactory analysis result.,Strategic asset development,POD-36,1733,Field-36,Structure-36,64.6,3.1,-0.7525,98.357,Target-36,Composite,1511,154635,47,36,4,3,WPAB-36,REF-36,1/1/2024 0:00,4/6/2024 0:00
SUMATERA,ALTAR RESOURCES,24-0037-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-137,G&G,INDONESIA BASIN,MAGNETIC,Hydrocarbon Detection,Site-37,3/9/2024 0:00,Yes,Rock Core,Single,Project-37,Development,Well-37,Appraisal,Standard Program,PROG-37,Yes,186.36,1377,Oil Based Mud,1423,Medium,11.3,SP-37,High,Low,Layer-37,Satisfactory analysis result.,Strategic asset development,POD-37,1152,Field-37,Structure-37,65.3,2.3,-1.4308,127.4391,Target-37,Steel,2448,191179,34,10,5,3,WPAB-37,REF-37,1/1/2024 0:00,4/7/2024 0:00
BINTUNI,BP INDONESIA,24-0038-E,18E - Exploration & Exploitation,Closed Out,BARITO BLOCK PSC,CA-138,G&G,INDONESIA BASIN,SEISMIC 2D,Reservoir Imaging,Site-38,3/10/2024 0:00,Yes,Rock Core,Dual,Project-38,Exploration,Well-38,Development,Standard Program,PROG-38,Yes,127.3,2165,Oil Based Mud,1028,High,6.8,SP-38,High,High,Layer-38,Satisfactory analysis result.,Strategic asset development,POD-38,1911,Field-38,Structure-38,71.1,1.5,-1.7371,96.9159,Target-38,Composite,1554,141211,38,15,3,2,WPAB-38,REF-38,1/1/2024 0:00,4/8/2024 0:00
MAHAKAM,BP INDONESIA,24-0039-E,18E - Exploration & Exploitation,Approved,SUMATERA BLOCK PSC,CA-139,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-39,3/11/2024 0:00,No,Rock Core,Dual,Project-39,Exploration,Well-39,Exploration,Standard Program,PROG-39,No,123.89,1326,Water Based Mud,1247,Medium,9.4,SP-39,High,Medium,Layer-39,Satisfactory analysis result.,Strategic asset development,POD-39,2366,Field-39,Structure-39,54.7,4.4,-1.3912,133.9497,Target-39,Composite,3464,151821,44,12,3,1,WPAB-39,REF-39,1/1/2024 0:00,4/9/2024 0:00
